Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Opp_Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Rush,Pass,Tot,TO
1,LVR,2024-11-29,2024,17,19,116.4,-1,6.89,4.91,31:12,80.5,Fri,12,13,@,KAN,L 17-19,17,19,-2,36,23,35,12,65.7,318,2,0,5.7,0.0,116.4,3,22,7.89,9.1,8.37,10.23,9.42,13.8,434,63,6.89,67,4.91,1,31:12,3:14,26,46,56.5,266,1,5,40,0,80.5,53,52,105,-1
2,KAN,2024-11-29,2024,19,17,84.1,1,4.91,6.89,28:48,113.7,Fri,12,13,,LVR,W 19-17,19,17,2,36,26,46,20,56.5,266,1,0,2.2,0.0,84.1,5,40,9.80,5.8,5.22,6.22,5.61,10.2,329,67,4.91,63,6.89,0,28:48,3:14,23,35,65.7,318,2,3,22,0,113.7,-53,-52,-105,1
3,NYG,2024-11-28,2024,20,27,66.9,-2,4.19,4.66,28:24,82.5,Thu,12,13,@,DAL,L 20-27,20,27,-7,47,21,32,11,65.6,131,0,1,0.0,3.1,66.9,6,47,15.79,4.1,3.45,2.69,2.26,6.2,247,59,4.19,68,4.66,2,28:24,3:33,21,36,58.3,195,1,0,0,0,82.5,-6,-64,-70,-2
4,GNB,2024-11-28,2024,30,17,129.2,1,7.32,5.77,26:56,111.6,Thu,12,13,,MIA,W 30-17,30,17,13,47,21,28,7,75.0,274,2,0,7.1,0.0,129.2,0,0,0.00,9.8,9.79,11.21,11.21,13.0,388,53,7.32,65,5.77,0,26:56,3:12,37,46,80.4,336,2,5,29,0,111.6,75,-62,13,1
5,DAL,2024-11-28,2024,27,20,82.5,2,4.66,4.19,31:36,60.8,Thu,12,13,,NYG,W 27-20,27,20,7,47,21,36,15,58.3,195,1,0,2.8,0.0,82.5,0,0,0.00,5.4,5.42,5.97,5.97,9.3,317,68,4.66,59,4.19,0,31:36,3:33,21,32,65.6,131,0,6,47,1,60.8,6,64,70,2
6,DET,2024-11-28,2024,23,20,100.2,-1,5.87,5.10,35:14,94.3,Thu,12,13,,CHI,W 23-20,23,20,3,43,21,34,13,61.8,211,2,0,5.9,0.0,100.2,2,10,5.56,6.2,5.86,7.38,6.97,10.0,405,69,5.87,59,5.10,1,35:14,3:22,20,39,51.3,223,3,5,33,0,94.3,116,-12,104,-1
7,CHI,2024-11-28,2024,20,23,97.8,1,5.10,5.87,24:46,99.0,Thu,12,13,@,DET,L 20-23,20,23,-3,43,20,39,19,51.3,223,3,0,7.7,0.0,97.8,5,33,11.36,5.7,5.07,7.26,6.43,11.2,301,59,5.10,69,5.87,0,24:46,3:22,21,34,61.8,211,2,2,10,0,99.0,-116,12,-104,1
8,MIA,2024-11-28,2024,17,30,114.2,-1,5.77,7.32,33:04,129.2,Thu,12,13,@,GNB,L 17-30,17,30,-13,47,37,46,9,80.4,336,2,0,4.3,0.0,114.2,5,29,9.80,7.3,6.59,8.17,7.37,9.1,375,65,5.77,53,7.32,1,33:04,3:12,21,28,75.0,274,2,0,0,0,129.2,-75,62,-13,-1
9,BAL,2024-11-25,2024,30,23,126.5,0,6.48,4.75,30:57,74.1,Mon,12,12,@,LAC,W 30-23,30,23,7,53,16,22,6,72.7,177,2,0,9.1,0.0,126.5,1,0,4.35,8.0,7.70,9.86,9.43,11.1,389,60,6.48,60,4.75,0,30:57,3:02,21,36,58.3,202,0,4,16,0,74.1,129,-25,104,0
10,LAC,2024-11-25,2024,23,30,75.9,0,4.75,6.48,29:03,126.5,Mon,11,12,,BAL,L 23-30,23,30,-7,53,21,36,15,58.3,202,0,0,0.0,0.0,75.9,4,16,10.00,5.6,5.05,5.61,5.05,9.6,285,60,4.75,60,6.48,0,29:03,3:02,16,22,72.7,177,2,1,0,0,126.5,-129,25,-104,0
